month,marriages,is_summer_month
APR,45,FALSE
AUG,44,TRUE
DEC,43,FALSE
FEB,46,FALSE
JAN,42,FALSE
JUL,43,TRUE
JUN,43,TRUE
MAR,44,FALSE
MAY,43,FALSE
NOV,45,FALSE
OCT,45,FALSE
SEP,45,FALSE
